"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"kedavra";0,00188328501606961;0,00197402891973494;0;0;0,00295885001413603;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kiedy";0;0,00142772380915954;0;0;0;0;0;0;0;0,00211648287753431;0,00185549076932199;0;0,00879451789295079;0;0;0;0,00970276785166863;0;0
"kierunek";0,00114848921974667;0;0;0;0;0;0;0;0;0,00713830222734854;0;0;0;0;0;0;0;0;0
"kieszenia";0,00114848921974667;0;0,00328737602575262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kilka";0;0,0012327390754058;0,00336632593668508;0;0,00184773890302492;0,00124753564345269;0;0;0;0;0,0096125145244071;0;0;0;0;0;0;0;0,0065729842400096
"king";0;0,0024076556808329;0,00328737602575262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kings";0;0;0;0,00278323615398298;0,00213999935395136;0,00144486077911195;0,00192407534321301;0,00219112561838023;0;0;0;0;0;0;0;0;0;0;0
"kirke";0;0;0;0;0;0;0;0;0;0;0,00312902457942542;0;0;0,0941428264766257;0;0;0;0;0
"klamac";0;0;0;0;0;0;0;0,00369502561256381;0;0;0,0125160983177017;0;0;0;0;0;0;0;0
"klasa";0,000941642508034805;0;0,00269530871733039;0;0;0;0,00266030470801441;0;0;0;0;0;0;0;0;0;0;0;0
"klasy";0,000941642508034805;0;0;0,00384821533630409;0;0;0;0;0;0,00292633517881586;0;0;0;0;0;0;0;0;0
"klatwa";0,00114848921974667;0;0;0;0,0072176166965413;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kleska";0,00114848921974667;0;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"klocic";0;0,0012327390754058;0;0;0,00369547780604984;0,00124753564345269;0,00166130370901342;0,00189188283586169;0;0;0;0;0,00379672377333888;0;0;0;0;0;0
"klopot";0,000941642508034805;0;0;0;0;0;0;0;0;0;0,00256547689086939;0;0,00607982879616993;0;0;0;0;0;0
"klub";0;0;0;0,00938707373827626;0;0;0;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"knot";0,00340523235246857;0;0;0,00556647230796596;0,00213999935395136;0;0,00384815068642602;0,00438225123676046;0;0;0;0;0;0;0;0;0;0;0
"kochac";0;0;0;0;0;0,00168636722688941;0;0;0;0;0;0;0;0;0;0,00536498213232359;0,00566228592806949;0,00990276437640346;0
"kociel";0,00344546765924001;0;0;0;0;0;0,00648936566122595;0;0;0;0;0;0;0;0;0;0;0;0
"kociolek";0;0;0,00328737602575262;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kolacja";0,00282492752410442;0;0;0,00384821533630409;0;0;0;0;0;0;0;0;0,00607982879616993;0;0;0;0;0;0
"kolega";0,000794882430496317;0,00166636583650377;0;0;0;0;0;0,00255736918480499;0;0;0;0;0;0,0325786596151244;0;0;0;0;0
"kolej";0,00114848921974667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0128376581559035
"kolejny";0,00308892948872175;0;0,00126308452777691;0,0018033634587335;0,00138658612604843;0,00280853904000807;0,00124668083261097;0,00141971275704617;0;0;0;0;0,0113965982962885;0;0;0;0;0;0
"kolezanka";0;0;0,00269530871733039;0;0;0;0;0,00302953926362051;0;0;0;0;0;0;0,0213037201017794;0;0;0;0
"kolo";0,000941642508034805;0;0,00808592615199118;0;0;0;0;0;0;0;0;0;0,00607982879616993;0;0;0;0;0;0
"kominek";0,00574244609873335;0;0;0;0;0;0;0,0110850768376914;0;0;0;0;0;0;0;0;0;0;0
"komnata";0,00158976486099263;0;0,00910092110705905;0,0324845016393582;0;0;0;0;0;0,00247025001477317;0;0;0;0;0;0;0;0;0
"kon";0;0;0;0;0;0;0;0;0,0760847146492123;0,00292633517881586;0;0;0;0,0385936958365569;0;0;0;0;0
"konczyc";0,00204313941148114;0;0;0;0;0,00433458233733584;0;0;0;0,00211648287753431;0;0;0;0;0;0,00459665732352321;0,00485138392583431;0;0
"konfiskowac";0;0;0;0;0;0;0,00324468283061297;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"koniec";0,00348471722611205;0,00243508285531131;0,000554137444638151;0,00237350200275647;0,00364991863534996;0;0;0,000622853009445385;0;0;0,00105488977900288;0,00927945415766938;0,0062498606769691;0,00793460572902164;0,00875980472483989;0,00130665344940929;0,00137906245668134;0;0
"kontakt";0,00114848921974667;0;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0;0;0
"kontynuowac";0;0;0;0;0,00295885001413603;0;0,00266030470801441;0,00302953926362051;0;0;0;0;0;0;0;0;0;0;0
"korneliusz";0,000794882430496317;0;0;0;0,00249769723715954;0;0,00224568183161197;0,00255736918480499;0;0;0;0;0;0;0;0;0;0;0
"korytarz";0;0,00142772380915954;0,00194939212404476;0,00278323615398298;0;0;0,00192407534321301;0,00219112561838023;0;0;0;0;0;0;0;0;0;0;0
"korzystac";0;0,0024076556808329;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0;0;0
"kraina";0;0;0;0;0;0;0;0;0;0;0,00649690032787163;0,0381004663295523;0,00513225459690316;0;0,0179834201075487;0;0;0;0
"kraj";0,000588035718784452;0;0;0;0,00184773890302492;0;0;0;0;0,00548230223974427;0;0;0,00759344754667776;0,0241009422133685;0,0133037201017794;0;0;0;0
"krasc";0;0;0;0,00469353686913813;0;0;0;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"krew";0;0;0;0;0;0;0;0;0;0;0,00256547689086939;0;0;0;0;0;0,0134154408701382;0;0,0210511068199402
"krewic";0,000588035718784452;0;0,00168316296834254;0;0;0;0,00166130370901342;0;0;0;0;0;0;0;0;0,00396889024516093;0,00418882874741166;0;0,0131459684800192
"krok";0,00188328501606961;0,00197402891973494;0;0;0;0,00199772319033941;0;0;0;0;0;0;0;0;0;0;0;0;0
"krol";0;0;0;0;0;0,00144486077911195;0;0;0;0,00846593151013724;0,00927745384660994;0;0,0131917768394262;0;0,0308159906968996;0;0;0;0
"krolewski";0;0;0;0;0;0;0;0;0,0463989644777655;0;0;0;0;0;0;0,00775161697719233;0;0;0
"krolowy";0;0;0;0;0;0;0;0;0;0,00494050002954634;0,0108281672131194;0,0381004663295523;0;0,0325786596151244;0;0;0;0;0
"krotki";0;0;0;0;0;0,00199772319033941;0;0;0;0;0,00256547689086939;0;0;0,0385936958365569;0;0;0;0;0
"krukonow";0,00114848921974667;0;0;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"krum";0,00918791375797337;0,0024076556808329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kryjowka";0;0,0024076556808329;0;0;0;0,0073096643213284;0;0;0;0;0;0;0;0;0;0;0;0;0
"krytykowac";0;0;0;0;0,00360880834827065;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0;0;0
"krzak";0,00229697843949334;0;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"krzeslo";0,00114848921974667;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0779502603226461;0;0;0;0
"krzyk";0,00188328501606961;0;0;0;0;0,00199772319033941;0,00266030470801441;0;0;0;0;0;0;0;0;0;0;0;0
"krzywdzic";0;0;0;0,00469353686913813;0;0;0;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"ksiaze";0;0;0;0;0,00427999870790272;0;0;0;0;0,00846593151013724;0,00185549076932199;0;0,00439725894647539;0;0,0154079953484498;0;0;0;0
"ksiazka";0,00152818874616618;0,00320364549603999;0,00145806942447974;0,00208175229969072;0;0;0;0;0,0205796084483712;0;0;0;0;0;0;0,00343812074316463;0;0;0,0056939628118023
"ksiega";0;0;0,00539061743466079;0;0;0;0,00266030470801441;0;0;0;0;0;0,00607982879616993;0;0;0;0;0;0
"ksztalt";0;0,00197402891973494;0,00269530871733039;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00670772043506909;0;0
"kto";0,000982319043730081;0,00068643396483041;0,00187449275011381;0,00133814944878067;0,00308666472852074;0,00138934646445045;0,00277522303263603;0,00105346919062141;0;0,00101758177863321;0;0;0;0;0;0;0,00233249223817688;0;0
"ktory";0,000482371878125979;0,000758421611197332;0,000345179066634683;0,000492827915946628;0,00075785981741126;0,00127920824394249;0,000340696221613453;0,000387982841678119;0;0,0011242975313244;0,000328551943964419;0;0,000778623100080061;0;0,00272829534268054;0,000813930591491807;0,00171807011503812;0,00150236527680646;0
"ktorys";0,00344546765924001;0;0;0;0;0;0;0;0;0;0,00312902457942542;0;0;0;0;0;0;0;0
"kuchnia";0,00229697843949334;0;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"kufer";0,00344546765924001;0;0;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kupic";0;0;0,00269530871733039;0;0,00295885001413603;0;0;0;0,0380423573246061;0;0;0;0;0;0;0;0;0;0
"kurs";0;0;0;0,00469353686913813;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kwatera";0;0;0;0;0,00360880834827065;0;0;0;0,0463989644777655;0;0;0;0;0;0;0;0;0;0
"kwestia";0;0;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0,00775161697719233;0;0;0
"laczyc";0,000941642508034805;0,00197402891973494;0;0;0;0,00199772319033941;0;0;0;0;0;0;0;0;0;0;0;0;0
"lad";0;0;0;0;0;0;0;0;0;0,00356915111367427;0;0;0,0222460788592026;0;0;0;0;0;0
"ladowac";0,00176410715635335;0;0;0,00240312863110178;0,00184773890302492;0;0;0,00189188283586169;0,0237566430388918;0,00182743407991476;0;0;0;0;0;0;0;0;0
"lagodny";0;0;0,00328737602575262;0;0;0;0;0;0;0;0,00312902457942542;0;0;0;0;0;0;0;0
"lamac";0;0;0;0;0,00249769723715954;0,00168636722688941;0;0;0;0;0;0;0;0;0;0;0,011324571856139;0;0,00888508898594303
"lancuch";0,00114848921974667;0;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"lapa";0,00136209294098743;0;0;0,00556647230796596;0;0;0,00384815068642602;0,00219112561838023;0;0,00211648287753431;0;0;0;0;0;0;0;0;0
"lapac";0,000941642508034805;0;0;0;0;0;0;0;0;0,00292633517881586;0,00256547689086939;0;0;0;0;0;0;0;0
"las";0,00164100250673869;0,00147434769323001;0,00134203443870937;0,000958041925899464;0;0,000994696193131927;0,000662302710012417;0,00150845281620575;0;0,000728532981013658;0,00319347308633155;0;0;0,00960818859018013;0;0,00474676620087658;0,00166993705975423;0;0
"latac";0;0,00333273167300754;0,00227523027676476;0,00324845016393582;0;0;0;0;0;0;0,00216563344262388;0;0;0;0;0;0;0;0
"latania";0,00114848921974667;0;0,00328737602575262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"lato";0;0;0,00328737602575262;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"lavender";0;0,0024076556808329;0;0;0,010826425044812;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"lawka";0,00344546765924001;0;0;0;0;0;0;0;0;0,00356915111367427;0;0;0;0;0;0;0;0;0
"lazienka";0,00136209294098743;0;0,00194939212404476;0,00834970846194894;0,00213999935395136;0,00288972155822389;0;0;0;0;0;0;0;0;0;0;0;0;0
"leca";0;0,00197402891973494;0;0;0,00295885001413603;0;0,00266030470801441;0;0;0;0;0;0;0;0;0;0;0;0
"leciec";0,00114848921974667;0;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0;0;0
"leczyc";0;0;0;0;0;0;0;0;0;0,00356915111367427;0,00312902457942542;0;0;0;0;0;0;0;0
"legenda";0;0;0;0,00938707373827626;0;0;0;0;0;0;0,00312902457942542;0;0;0;0;0;0;0;0
"lekcja";0,00457426808487103;0;0,00218219131984063;0,00467342129480321;0,00718668341334182;0,00161740812003192;0,00538462793207429;0,012263964869184;0;0,00236923629011269;0;0;0;0;0;0;0;0;0,00426087949407618
"lektura";0,00114848921974667;0;0;0;0;0;0;0;0;0;0;0;0,00741535961973421;0;0;0;0;0;0
"lestrange";0;0,00481531136166581;0;0;0;0;0;0,00739005122512761;0;0;0;0;0;0;0;0;0;0;0
"letni";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00635552509002966;0,00670772043506909;0;0,0105255534099701
"lew";0;0;0;0;0;0;0;0,00255736918480499;0;0,0123512500738659;0,0129938006557433;0;0,0102645091938063;0;0;0;0;0;0
"lezec";0,000941642508034805;0;0;0;0;0;0,00266030470801441;0;0;0;0;0;0,00607982879616993;0;0;0;0;0;0
"lily";0;0,00394805783946987;0,00269530871733039;0;0;0;0;0,00302953926362051;0;0;0;0;0;0;0;0;0;0;0
"list";0,00407516998977647;0;0,0145806942447974;0,00416350459938145;0,00320127242530218;0;0,00575653383171221;0,00327775333648687;0;0;0;0;0;0;0;0;0,00362864632590927;0;0
"little";0,00114848921974667;0;0,00328737602575262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"loch";0,00229697843949334;0;0,00328737602575262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"londyn";0,000794882430496317;0;0;0;0,00249769723715954;0;0;0;0;0,00247025001477317;0,00216563344262388;0;0;0;0;0;0;0;0
"lord";0,00203758499488823;0,00106788183201333;0,00437420827343921;0,00208175229969072;0,00160063621265109;0,00324209885533229;0,00143913345792805;0;0;0;0;0;0;0;0;0;0;0;0
"los";0,00282492752410442;0;0;0;0;0;0;0;0;0;0,00256547689086939;0;0;0;0;0,00635552509002966;0;0;0
"lovegood";0;0,00789611567893975;0;0;0,00295885001413603;0;0;0,00605907852724102;0;0;0;0;0;0;0;0;0;0;0
"lozko";0,000941642508034805;0;0;0;0;0,00199772319033941;0,00266030470801441;0;0;0;0;0;0;0;0;0;0;0;0
"lubic";0;0;0,00269530871733039;0;0;0,00199772319033941;0;0,00302953926362051;0;0;0;0;0;0;0;0;0;0;0
"lucja";0;0;0;0;0;0;0;0;0,027514277407946;0,0359802089180833;0,0593757046183036;0,0326440579416309;0,0263835536788524;0;0;0;0;0;0
"lucjusz";0;0;0;0,00938707373827626;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ludzki";0;0;0;0;0;0;0;0;0;0,00292633517881586;0,00513095378173878;0;0;0;0;0;0;0;0,0105255534099701
"luk";0;0;0;0;0;0;0;0;0;0,00713830222734854;0,00312902457942542;0;0;0;0;0;0;0;0
"luna";0;0,00789611567893975;0;0;0,00295885001413603;0;0;0,012118157054482;0;0;0;0;0;0;0;0;0;0;0
"lunac";0;0,00987014459867468;0;0;0,00295885001413603;0;0;0,00605907852724102;0;0;0;0;0;0;0;0;0;0;0
"lupin";0;0,00499909750951131;0;0;0,00249769723715954;0;0,0314395456425676;0,00511473836960998;0;0;0;0;0;0;0;0;0;0;0
"lupina";0;0,00592208675920481;0;0;0;0;0,0106412188320577;0,00302953926362051;0;0;0;0;0;0;0;0;0;0;0
"madame";0,00282492752410442;0;0;0;0,00295885001413603;0;0;0,00302953926362051;0;0;0;0;0;0;0;0;0;0;0
"magia";0,00308892948872175;0,00185015198434927;0,00631542263888454;0,00541009037620051;0,00693293063024214;0,00561707808001614;0,00249336166522195;0,0141971275704617;0;0;0;0;0;0;0;0;0;0;0
"magiczny";0,00250935751529583;0;0,000798072768022559;0,00113944493469117;0;0,00059151980105498;0,000787708186619669;0,000897037422987814;0;0,000866479005281635;0,000759629956460779;0;0,0036004378758278;0,011427476736323;0,00630796715845031;0;0;0;0
"maic";0,00397441215248159;0;0,00227523027676476;0;0;0;0;0;0;0,00247025001477317;0;0;0;0;0;0;0,00566228592806949;0;0
"malfoy";0,00152818874616618;0;0,00145806942447974;0,0145722660978351;0,00960381727590654;0,00540349809222049;0,00431740037378416;0,00163887666824344;0;0;0;0;0;0;0;0;0;0;0
"malfoya";0,0011760714375689;0,00369821722621741;0;0,00480625726220355;0,0147819112241994;0,00124753564345269;0,00166130370901342;0;0;0;0;0;0;0;0;0;0;0;0
"malfoyem";0;0;0;0;0,00295885001413603;0,00199772319033941;0,00266030470801441;0;0;0;0;0;0;0;0;0;0;0;0
"malfoyow";0,00114848921974667;0,00481531136166581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"malfoyowi";0;0;0;0,00469353686913813;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"malo";0,000794882430496317;0,00166636583650377;0;0;0;0;0;0;0;0;0;0;0,00513225459690316;0;0;0;0,00566228592806949;0;0
"maly";0,000654879362486721;0,00068643396483041;0,000937246375056906;0;0;0,00208401969667567;0;0,00105346919062141;0;0,00203516355726642;0,000892099632520446;0;0,00211415392364434;0;0;0;0,00466498447635377;0;0,00366007675318665
"mama";0;0;0;0;0,0072176166965413;0;0;0;0;0,00356915111367427;0;0;0;0;0;0;0;0;0
"mapa";0,004767325293456;0;0;0;0,00213999935395136;0,00144486077911195;0,00962037671606505;0;0;0;0;0;0,00439725894647539;0;0;0;0;0;0
"marta";0,000794882430496317;0;0;0,00649690032787163;0,00249769723715954;0,00168636722688941;0;0;0;0;0;0;0;0;0;0;0;0;0
"martwic";0;0;0;0;0;0;0;0;0;0;0;0;0,00741535961973421;0;0;0;0;0,0143080507200158;0
"martwy";0,00158976486099263;0;0;0,00324845016393582;0;0;0;0,00255736918480499;0;0;0;0;0;0;0;0;0,00566228592806949;0;0
"matka";0,00152818874616618;0,00320364549603999;0,00145806942447974;0;0;0;0,00143913345792805;0,00327775333648687;0;0;0;0;0;0;0;0;0,00362864632590927;0;0,0056939628118023
"maxime";0,00344546765924001;0;0;0;0;0;0;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"maz";0;0;0,00227523027676476;0;0,00249769723715954;0,00337273445377882;0;0;0;0;0,00216563344262388;0;0;0;0;0;0;0;0
"mcgonagall";0,00308892948872175;0,00185015198434927;0,00126308452777691;0,0018033634587335;0,00138658612604843;0,00561707808001614;0,00374004249783292;0,00709856378523086;0;0;0;0;0;0;0;0;0;0;0
"mecz";0,000509396248722059;0,00106788183201333;0,00145806942447974;0,00416350459938145;0,00480190863795327;0;0,00287826691585611;0,00327775333648687;0;0;0;0;0;0;0;0;0;0;0
"meczec";0,000588035718784452;0;0,00504948890502762;0,00480625726220355;0;0;0,00166130370901342;0,00378376567172339;0;0;0;0;0;0;0;0;0;0;0,0065729842400096
"medalion";0;0,0120382784041645;0;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mezczyzna";0,00204313941148114;0,00142772380915954;0,00389878424808952;0;0;0;0,00384815068642602;0;0;0;0;0;0,00879451789295079;0;0;0;0;0;0
"miasteczko";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00775161697719233;0;0;0,0128376581559035
"miasto";0;0;0,00227523027676476;0;0;0;0;0;0;0;0,00216563344262388;0;0;0;0,0179834201075487;0,00536498213232359;0;0;0
"miec";0,00188328501606961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00670772043506909;0,0117311234040636;0
"miecz";0;0,0177662602776144;0;0;0;0;0;0;0;0,00585267035763171;0,00513095378173878;0;0;0;0;0;0;0;0
"miedza";0,00114848921974667;0;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"miedzy";0,000509396248722059;0,00106788183201333;0,00145806942447974;0;0,00160063621265109;0,0010806996184441;0;0;0;0;0;0;0;0;0,0115245807310879;0;0;0;0,0113879256236046
"miedzyczas";0;0,00166636583650377;0;0,00649690032787163;0,00499539447431908;0;0,00449136366322395;0;0;0;0;0;0;0;0;0;0;0;0
"miejsce";0,00281314715440918;0,00196579692430668;0,000671017219354685;0;0,00147325558382762;0,00198939238626385;0,00264921084004967;0,00150845281620575;0;0;0;0,0112366951308886;0;0,00960818859018013;0;0;0,00166993705975423;0,0029205507168389;0,00262041507004913
"mielic";0,000794882430496317;0;0,00455046055352953;0,00324845016393582;0;0;0;0;0;0;0;0;0,0205290183876127;0;0;0;0;0;0
"miesiac";0;0;0;0;0;0;0;0;0;0,00292633517881586;0;0;0;0;0;0,00635552509002966;0,0134154408701382;0;0
"mieszek";0;0;0,00539061743466079;0,00384821533630409;0;0;0;0;0;0;0,00256547689086939;0;0;0;0;0;0;0;0
"mieszkac";0,000441275641245964;0,000925075992174637;0,00378925358333073;0;0,00138658612604843;0;0,00124668083261097;0;0,0178275359063369;0;0;0;0;0;0;0,00297834728745486;0,00314339424041205;0;0
"mijac";0,00376657003213922;0,00197402891973494;0;0;0;0;0;0;0;0;0,00513095378173878;0;0;0;0;0;0;0;0
"milosc";0;0;0;0;0,00295885001413603;0,00199772319033941;0;0;0;0;0;0;0;0;0;0;0;0,0586556170203178;0
"milosny";0;0;0;0;0,00360880834827065;0;0;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"mina";0;0,00963062272333161;0;0;0;0;0;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"minister";0;0,00166636583650377;0;0;0,00749309171147862;0,00505910168066823;0,00224568183161197;0;0;0;0;0;0;0;0;0;0;0;0
"ministerstwo";0,00356577374105441;0,00533940916006665;0,00145806942447974;0;0,00160063621265109;0,00540349809222049;0,00431740037378416;0,0131110133459475;0;0;0;0;0;0;0;0;0;0;0
"minuta";0,000941642508034805;0,00197402891973494;0;0;0;0,00199772319033941;0;0;0;0;0;0;0;0;0;0;0;0;0
"miotla";0,0011760714375689;0,00246547815081161;0,00673265187337016;0;0,00369547780604984;0;0,00664521483605366;0,00189188283586169;0;0;0;0;0;0;0;0;0;0;0
"misja";0;0,00499909750951131;0;0;0,00249769723715954;0,00168636722688941;0;0;0;0;0;0;0;0;0,0179834201075487;0;0;0;0
"mistrz";0,000794882430496317;0;0;0;0;0,00168636722688941;0,00224568183161197;0;0;0,00494050002954634;0;0;0;0;0;0;0;0;0
"mistrzostwa";0,00344546765924001;0;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"mlody";0,00749151117543085;0;0,00389878424808952;0;0;0;0;0,00219112561838023;0;0,00423296575506862;0;0;0;0;0;0;0;0,00848457893637103;0
"moc";0,00101879249744412;0,00106788183201333;0;0,00208175229969072;0,00320127242530218;0;0;0;0;0,00158304680372086;0;0,0244164845997624;0;0;0;0;0,00725729265181855;0;0
"moc";0,000836452505098608;0;0,00319229107209024;0,00113944493469117;0,000876106549784765;0,00059151980105498;0,00236312455985901;0,00179407484597563;0;0;0;0;0,0054006568137417;0;0;0,00376370355516128;0,00198613575517957;0,00347355019738453;0
"mogel";0;0,00197402891973494;0;0,00384821533630409;0;0;0;0;0;0,00292633517881586;0;0;0;0;0;0;0;0;0
"molly";0,000941642508034805;0,00592208675920481;0;0;0;0;0;0,00605907852724102;0;0;0;0;0;0;0;0;0;0;0
"moment";0,00220637820622982;0,000925075992174637;0;0,0018033634587335;0,00138658612604843;0,00093617968000269;0,00374004249783292;0;0;0;0;0;0,00569829914814423;0;0;0;0;0;0,00493251981598255
"moody";0,0131829951124873;0,00197402891973494;0;0;0;0;0;0,00605907852724102;0;0;0;0;0;0;0;0;0;0;0
"moodyego";0,00344546765924001;0,00481531136166581;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"morderstwo";0,00114848921974667;0;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0;0;0
"morze";0;0;0;0;0;0;0;0;0;0;0,00312902457942542;0;0;0;0;0,00775161697719233;0;0;0
"most";0;0;0;0;0,00360880834827065;0;0;0;0;0,00713830222734854;0;0;0;0;0;0;0;0;0
"motocykl";0;0,0024076556808329;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00775161697719233;0;0;0
"mowa";0,000941642508034805;0;0;0;0;0,00199772319033941;0;0;0;0,00292633517881586;0;0;0;0;0;0;0;0;0
"mowiacy";0;0;0;0;0;0;0;0;0,0760847146492123;0,0117053407152634;0,00256547689086939;0;0;0;0;0;0;0;0
"mowic";0,000774381605802678;0,00324677714041508;0,0011082748892763;0,00553817133976511;0,0024332790902333;0,00246431115665038;0,000546940854448045;0,00747423611334462;0;0,0036098096393571;0,00421955911601151;0,00927945415766938;0;0;0;0,00130665344940929;0,00137906245668134;0;0
"mozliwy";0,000794882430496317;0,00166636583650377;0;0;0;0,00168636722688941;0;0;0;0,00247025001477317;0;0;0;0;0;0;0;0;0
"mroczny";0,00470821254017403;0,00197402891973494;0;0;0,00295885001413603;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mugola";0,00114848921974667;0;0;0;0,00360880834827065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mugolakow";0;0,0024076556808329;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0;0;0
"mugoli";0;0,00166636583650377;0,00227523027676476;0,00649690032787163;0;0;0,00224568183161197;0;0;0;0;0;0;0;0;0;0;0;0
"mundungusa";0;0,00481531136166581;0;0;0,0072176166965413;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"musiec";0,00190594503536293;0;0,00327328697976095;0,00155780709826774;0;0,000808704060015959;0;0;0;0;0,00103853806551182;0,0182712290169707;0,00492238589954919;0;0,00862402009601019;0;0,00271537156675384;0;0
"muszy";0,00238464729148895;0;0;0;0,00249769723715954;0;0,00224568183161197;0;0;0,00247025001477317;0;0;0;0;0;0;0;0;0
"myslec";0;0,00166636583650377;0,00227523027676476;0,00324845016393582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00888508898594303
"myslic";0,0011760714375689;0,0012327390754058;0;0;0;0;0;0,00189188283586169;0;0;0;0;0;0;0;0,00793778049032186;0,012566486242235;0;0,0065729842400096
"myslodsiewni";0;0,0024076556808329;0;0;0;0;0;0,00369502561256381;0;0;0;0;0;0;0;0;0;0;0
"myszy";0;0;0;0;0;0;0;0;0;0,00585267035763171;0,00256547689086939;0;0,00607982879616993;0;0;0;0;0;0
"nadal";0,000681046470493714;0;0;0;0,00213999935395136;0,00288972155822389;0;0,00438225123676046;0;0;0;0;0;0;0;0,00459665732352321;0;0;0
"nadawac";0;0;0;0,00384821533630409;0;0,00199772319033941;0;0;0;0;0,00256547689086939;0;0;0;0;0;0;0;0
"nadchodzic";0,00376657003213922;0,00197402891973494;0;0;0;0;0,00532060941602883;0;0;0;0;0;0;0;0;0;0;0;0
"nadejsc";0;0;0,00539061743466079;0,00769643067260818;0;0;0;0,00302953926362051;0;0;0;0;0;0;0;0;0;0;0
"nadzieja";0;0;0;0;0;0,00199772319033941;0;0;0;0;0,00256547689086939;0;0;0;0;0,00635552509002966;0;0;0
"nagle";0,00203758499488823;0,00106788183201333;0,00437420827343921;0;0;0;0,00431740037378416;0;0;0,00316609360744172;0,00138783486646048;0;0;0;0;0;0,00725729265181855;0;0
"najpierw";0;0,00166636583650377;0,00227523027676476;0;0;0;0;0;0;0;0,00433126688524776;0;0,00513225459690316;0;0;0;0;0;0
